mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.070897897084554,0.010936589507275093,0.03946558634440104,0.0004376158280138382,squared_error,10,log2,1,2,200,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-1269125.299439048,-1248734.8491349523,-1238533.6223694803,-1252131.2569811603,12717.818633070532,149
1.5804328123728435,0.004623612707736069,0.06926385561625163,0.011685302323447559,squared_error,10,log2,1,2,300,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-1270642.382676093,-1245770.9467834819,-1235400.4750941629,-1250604.6015179127,14787.859346371215,147
2.5420689582824707,0.537000335489884,0.10188992818196614,0.030960527124062703,squared_error,10,log2,1,2,400,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-1268545.3612957043,-1232421.0693547796,-1228474.6545585513,-1243147.0284030118,18031.454604514383,145
0.8365778128306071,0.40456879400301987,0.037890116373697914,0.024717907916945756,squared_error,10,log2,1,5,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-1315690.7719723065,-1259275.2911778926,-1260229.3807129364,-1278398.481287712,26372.508161447866,189
0.9905145168304443,0.01518927645530305,0.038701931635538735,0.002016244490891983,squared_error,10,log2,1,5,200,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1306007.5642488888,-1241256.7884222316,-1249607.2184610274,-1265623.8570440493,28758.364304005674,157
1.5192485650380452,0.005156716325653337,0.05553627014160156,0.0018969657643545393,squared_error,10,log2,1,5,300,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-1303229.1019766945,-1232657.8540486996,-1254185.3460263223,-1263357.434017239,29531.57245066674,153
2.0362864335378013,0.014254857852719611,0.07585310935974121,0.0027636964823086804,squared_error,10,log2,1,5,400,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",-1297964.7436707607,-1241806.3673538424,-1245463.559917147,-1261744.8903139168,25654.786392337966,151
0.48211057980855304,0.005566460619683742,0.019272327423095703,0.00039548331749785024,squared_error,10,log2,1,10,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-1351933.7470104625,-1342338.6538371488,-1335324.93766199,-1343199.1128365337,6807.761710513128,395
1.104951540629069,0.19241458049757204,0.042618751525878906,0.008404970100309484,squared_error,10,log2,1,10,200,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-1368729.5809555424,-1316942.690263486,-1289173.3872403302,-1324948.5528197861,32968.34204774704,359
1.7485424677530925,0.2931040191195468,0.05091754595438639,0.0006295966847967471,squared_error,10,log2,1,10,300,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-1369728.21454479,-1308220.0679526923,-1295466.05627343,-1324471.4462569708,32422.189010734797,357
1.8789842923482258,0.020708745704810697,0.08055416742960612,0.020092118388853622,squared_error,10,log2,1,10,400,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 400}",-1366934.1576060555,-1306736.3875884102,-1298019.0824821831,-1323896.542558883,30639.572274976075,353
0.5087560017903646,0.010336705224784824,0.03401335080464681,0.013477645484215046,squared_error,10,log2,2,2,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-1321692.4713982174,-1269599.5786366118,-1268825.3766827772,-1286705.8089058688,24741.32523305173,215
1.0126229127248128,0.012605881830343234,0.03793708483378092,0.0008661209668978822,squared_error,10,log2,2,2,200,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-1305139.7486570468,-1255271.3493349527,-1271265.3618710127,-1277225.4866210038,20790.328328553078,181
1.4946306546529133,0.021032339412083656,0.058034420013427734,0.000830326786491804,squared_error,10,log2,2,2,300,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-1299276.988935079,-1257231.9561771976,-1260578.5384770792,-1272362.4945297854,19080.398494998455,163
