mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_n_iter_no_change,param_solver,param_tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
6.286362648010254,0.2728341641169966,0.007909297943115234,0.0033249067654794913,relu,1e-05,"(128, 64)",0.001,300,10.0,adam,0.001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.001}",-2139759.2455080072,-2060197.7929134315,-1933843.663515633,-2044600.233979024,84785.09936047644,109
6.718143542607625,0.5454375257635933,0.008195797602335611,0.0033170370966718265,relu,1e-05,"(128, 64)",0.001,300,10.0,adam,0.0001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.0001}",-2139759.2455080072,-2060197.7929134315,-1933843.663515633,-2044600.233979024,84785.09936047644,109
11.366007169087728,0.16819268293541118,0.005922953287760417,0.00014446675154098653,relu,1e-05,"(128, 64)",0.001,500,10.0,adam,0.001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'max_iter': 500, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.001}",-1655823.010940587,-1542752.9596197505,-1518097.1389588735,-1572224.369839737,59964.027930901335,23
11.171962261199951,0.7227608678576141,0.008852879206339518,0.003702971282021673,relu,1e-05,"(128, 64)",0.001,500,10.0,adam,0.0001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001, 'max_iter': 500, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.0001}",-1655823.010940587,-1542752.9596197505,-1518097.1389588735,-1572224.369839737,59964.027930901335,23
6.5565502643585205,0.5815629193314464,0.005917946497599284,0.00018509865410405794,relu,1e-05,"(128, 64)",0.0005,300,10.0,adam,0.001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.001}",-2552326.7123710834,-2539533.7791410815,-2257190.498055123,-2449683.663189096,136213.3834653754,207
6.928645690282186,0.5925632231429826,0.006023486455281575,0.0006136141853349376,relu,1e-05,"(128, 64)",0.0005,300,10.0,adam,0.0001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.0001}",-2552326.7123710834,-2539533.7791410815,-2257190.498055123,-2449683.663189096,136213.3834653754,207
11.534246444702148,0.11180290180231453,0.006402730941772461,0.0004547207996681124,relu,1e-05,"(128, 64)",0.0005,500,10.0,adam,0.001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005, 'max_iter': 500, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.001}",-2238667.755628562,-2165784.140051619,-2014058.1806269337,-2139503.358769038,93560.58605424319,141
11.023799975713095,0.7152797970238512,0.010359446207682291,0.007008256977516068,relu,1e-05,"(128, 64)",0.0005,500,10.0,adam,0.0001,"{'activation': 'relu', 'alpha': 1e-05, 'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0005, 'max_iter': 500, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.0001}",-2238667.755628562,-2165784.140051619,-2014058.1806269337,-2139503.358769038,93560.58605424319,141
2.6972858905792236,0.6130706028916495,0.004124561945597331,1.0584519953178019e-05,relu,0.0001,"(64,)",0.001,300,10.0,adam,0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.001}",-8959214.301160954,-8704098.482143026,-9346853.393985244,-9003388.725763075,264256.19389274565,351
2.2508699893951416,0.02711668160562519,0.004442691802978516,0.00041236550101616913,relu,0.0001,"(64,)",0.001,300,10.0,adam,0.0001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.0001}",-8959214.301160954,-8704098.482143026,-9346853.393985244,-9003388.725763075,264256.19389274565,351
4.41675599416097,0.4827415707368066,0.004036903381347656,0.0001241381840884489,relu,0.0001,"(64,)",0.001,500,10.0,adam,0.001,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.001, 'max_iter': 500, 'n_iter_no_change': 10, 'solver': 'adam', 'tol': 0.001}",-4765494.495356851,-4732721.09047806,-4870322.092964175,-4789512.559599695,58686.50911851332,325
